"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;Unit;Portion
863571736162;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 37";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3238-3537-4663-b762-653362393431/c618f0d67e4b8ef0c7474f1e8a8a33c3.png;0;;;;;NXDsFM450o5ctO83LemY;;0;0;0;0;;0
354676493882;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 38";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3639-6337-4862-b234-663639326264/d5f10e55f9dfed4d616e1384ba7a9dc6.png;0;;;;;IvfkOA14S0XlBjRlOVcP;;0;0;0;0;;0
984608044902;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 39";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor6665-3662-4665-b833-396333393332/7791be554477fcfaf2e2282b0f1568f5.png;0;;;;;VSkbIziSmKhZc3nKoAUv;;0;0;0;0;;0
287029329862;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 40";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3162-3966-4736-b232-643738376634/bb5aa617c9649e607bccbb64dfdeb64e.png;0;;;;;6N3oxu0TtdVSlPNHdNLi;;0;0;0;0;;0
919509519602;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 41";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3432-3536-4838-b739-623832633264/937f32b7cd00550d918387845784f0f0.png;0;;;;;0umXTFzzF4ARi2nVI667;;0;0;0;0;;0
468909653772;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 42";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor6137-3435-4330-b732-393566343630/665cbdb4596cdc2095636e9f24d9ce72.jpg;0;;;;;okMcaJOBPLpfrlTbXnBk;;0;0;0;0;;0
301045275512;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 43";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3530-6531-4633-b133-306236333865/62475978.jpg;0;;;;;7ouvuNnNAyGx5oCBYx2p;;0;0;0;0;;0
735556132352;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 44";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor6432-3665-4434-b037-366134313630/90869003.jpg;0;;;;;mB8HuhTMyl7MYy4yAOFH;;0;0;0;0;;0
495489062742;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 45";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3462-6332-4631-a266-363032343533/90611391.jpg;0;;;;;2gI41HLdjLLnoDxYPXDB;;0;0;0;0;;0
815507302032;"Череп и кости";001-OTHER-20251108-K6F;"00 ОСТАЛОСЬ";Other;"Item 46";"Предмет из инсталляции на стене";"Предмет из инсталляции на стене в лофте сквота";https://static.tildacdn.com/stor3264-3637-4566-b538-663737336461/70919628.jpg;0;;;;;uJ5x79KZLsbhGssvYUNl;;0;0;0;0;;0
